nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
breylee varian step 1 blackhead & step 2 pore serum,Breylee,165025928,Luar Negeri,FALSE,TRUE,45001,189051,4.84,62734,91048,Essence
madame gie madame essence blanket mask - skincare masker,Madame Gie,94309880,KOTA JAKARTA BARAT,TRUE,FALSE,6250,87996,4.81,35198,4035,Essence
garnier light complete vitamin c 30x booster serum skin care  cepat cerahkan noda hitam ,Garnier,62583853,KOTA JAKARTA UTARA,TRUE,FALSE,71300,86455,4.86,256035,46841,Essence
biore uv aqua rich watery essence spf50 50 gr - sunscreen - sunscreen,Biore,36092728,KOTA BEKASI,TRUE,FALSE,87300,77274,4.92,45684,41008,Essence
skin aqua uv moisture milk  mild  moisture gel - milk  toneup essence sunscreen  bb cream series,Skin Aqua,11868573,KOTA JAKARTA BARAT,FALSE,TRUE,42024,75259,4.87,2580,20806,Essence
safi age defy gold water essence 30 ml,Safi,63823668,KOTA JAKARTA UTARA,TRUE,FALSE,54600,70417,4.91,38991,25757,Essence
buy you golden age refining serum 20ml free golden age essence 15 ml  berlaku mulai juni 2021,Y.O.U,72375863,KOTA TANGERANG,TRUE,FALSE,109650,61738,4.89,36769,19839,Essence
buy you golden age refining serum 20ml free golden age essence 15 ml  berlaku mulai juni 2021,Y.O.U,72375863,KOTA TANGERANG,TRUE,FALSE,109650,61738,4.89,36769,19839,Essence
skin aqua tone up uv essence  uv moisture milk spf 50+ pa+++ 40g moist gel spf 30,Skin Aqua,744873,KOTA JAKARTA SELATAN,FALSE,TRUE,42400,55228,4.92,99261,13456,Essence
garnier sakura white pinkish radiance essence lotion skin care - 120ml,Garnier,62583853,KOTA JAKARTA UTARA,TRUE,FALSE,78600,54796,4.92,33613,22645,Essence
❤ belia ❤ holika holika ✔️bpom pure essence mask sheet 100% original holika face mask,Holika Holika,48382819,KOTA SURABAYA,FALSE,TRUE,9500,50735,4.92,10689,8915,Essence
love beauty and planet hand body lotion murumuru butter & rose 400 ml - body care essence,Love Beauty and Planet,155169027,KOTA BEKASI,TRUE,FALSE,61200,49906,4.92,63845,25271,Essence
❤ belia ❤ skin aqua tone up uv essence  uv moisture milk spf 50+ pa+++ 40g moist gel spf 30,Skin Aqua,48382819,KOTA SURABAYA,FALSE,TRUE,41500,48334,4.92,74039,17395,Essence
esenses mascara - waterproof volume mascara - evany mascara,Essence,3774076,KOTA SURABAYA,FALSE,TRUE,17500,46682,4.87,28870,4584,Essence
lacoco dark sport essence original serum pembasmi flek hitam,Others,16066907,KAB. CIAMIS,FALSE,FALSE,500000,46536,4.88,2304,416,Essence
lacoco hidratyng divine essence original beragaransi anti flek hitam dan menghilangkan bopeng,Others,51003723,KAB. CIAMIS,FALSE,FALSE,250000,45817,4.96,493,643,Essence
loreal paris revitalift crystal micro essence water serum skin care - 65 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,148000,45137,4.9,38218,41548,Essence
loreal paris revitalift crystal micro essence water serum skin care - 65 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,148000,45137,4.9,38218,41548,Essence
wardah white secret intense brightening essence 17 ml,Wardah,59763733,KOTA JAKARTA SELATAN,TRUE,FALSE,83000,42203,4.91,40821,16751,Essence
safi white expert ultimate essence 20ml,Safi,63823668,KOTA JAKARTA UTARA,TRUE,FALSE,59400,40826,4.9,20896,12223,Essence
parfum kopi bali botol gantung - pengharum mobil gantung kopi bali essence original,Others,7273574,KOTA JAKARTA BARAT,FALSE,FALSE,3100,40275,4.76,5334,2815,Essence
