nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
the bath box salted honey facial wash 30ml not for sale,Bath,228402920,KOTA BOGOR,False,True,999999,32,5.0,145,0,Facial Wash
olay regenerist ritual anti aging lengkap - krim pelembab serum wajah sabun muka,Olay,11487927,KOTA SURABAYA,True,False,596600,2794,4.9,26913,1845,Facial Wash
elta md foaming facial cleanser 207ml,Elta MD,27999621,Luar Negeri,False,True,450086,12,5.0,0,35,Facial Wash
dijamin ori ertos paket flek & noda hitam 6in1 facial wash toner dark spot sk asta dermo,Erto's,64659037,KOTA TANGERANG SELATAN,False,True,450000,341,4.88,494,183,Facial Wash
loreal paris youthful radiant set – facial foam day & night cream and serum glowing,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,412700,1027,4.93,14195,673,Facial Wash
olay krim pagi 50gr + krim malam 50gr +sabun muka 100gr - olay set pelembab advance anti aging,Olay,11487927,KOTA SURABAYA,True,False,410600,746,4.91,1859,366,Facial Wash
sebamed liquid face and body wash 1000ml - sabun muka sebamed 1000 ml - sebamed 1l 1 l,Sebamed,12181810,KOTA JAKARTA UTARA,False,True,390000,501,4.92,396,146,Facial Wash
elvicto serum wajah anti aging pelembab + facial wash skincare bpom pemutih wajah pria permanen,Elvicto,25018461,KAB. BANDUNG,False,True,385000,64,4.73,388,37,Facial Wash
ready paket bogota diamond glow facial wash+sunscreen+night cream,Bogota,160024280,KOTA SEMARANG,False,True,360000,188,4.95,94,29,Facial Wash
diamondglow  plus facialwash 65ml,Others,66383973,KOTA MALANG,False,False,360000,376,4.99,38,3,Facial Wash
diamondglow new package free facial wash + pouch/random ,Others,170168663,KOTA JAKARTA BARAT,False,False,360000,144,4.87,86,23,Facial Wash
free gift diamond glow series free facial wash,Others,5206903,KOTA BANDUNG,False,True,360000,372,4.92,204,41,Facial Wash
histoire naturelle lactobacillus duo facial foam and serum,Histoire Naturelle,315746431,KOTA TANGERANG,False,False,359000,27,4.93,213,38,Facial Wash
drschatz - dr schatz facial cleanser - sabun muka - missflolaks,Others,107033915,KOTA SURABAYA,False,True,350000,20,5.0,111,3,Facial Wash
normal/acne series dan facialwash free masker/pouch,Others,66383973,KOTA MALANG,False,False,350000,372,4.92,56,54,Facial Wash
bogota skincare paket lengkap facial wash  acne / normal  / cream wajah / krim wajah / bogota,Others,26342542,KAB. BEKASI,False,True,350000,646,4.91,206,130,Facial Wash
olay total effects set lengkap perawatan kulit normal - krim pelembab serum wajah sabun muka,Olay,11487927,KOTA SEMARANG,True,False,338800,5217,4.92,12038,2873,Facial Wash
sunblock revitalizing serum kecil facialwash 329 rb,iuseadha skincare,53907779,KAB. BOGOR,False,False,329000,1750,4.99,2281,80,Facial Wash
paket everwhite be bright series facial wash toner day night cream original,Everwhite,38313783,KOTA DEPOK,False,True,328700,304,4.84,1612,705,Facial Wash
alpha rules twinpack face up & full body contact sabun muka & sabun mandi pria alpharules original,Others,450310246,KAB. BANYUMAS,False,False,320000,1402,5.0,35,0,Facial Wash
ertos paket penghilang flek hitam membandel - facial wash  night cream  astaxanthine  dark spot,Ertos,184979646,KAB. TANGERANG,False,True,310000,572,4.88,3631,515,Facial Wash
dijamin ori ertos paket anti penuaan facial wash anti aging serum astaxanthine dermo night,Erto's,64659037,KOTA TANGERANG SELATAN,False,True,305000,226,4.92,474,109,Facial Wash
loreal paris crystal & bright night care set – facial wash night cream and essence brightening,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,300900,453,4.93,5777,339,Facial Wash
dijamin ori ertos paket flek & bintik hitam dark spot facial wash astaxanthine dermo night,Erto's,64659037,KOTA TANGERANG SELATAN,False,True,300000,1358,4.85,2725,1016,Facial Wash
paket jerawat ms glow acne night cream day cream toner dan facial wash,Ms glow,29062395,KAB. KENDAL,False,False,300000,241,4.89,153,39,Facial Wash
paket gold  perawatan jerawat nay acne oil+nay facial wash+nay sunscreen,Others,254559229,KOTA JAKARTA SELATAN,False,False,299000,233,4.55,546,27,Facial Wash
olay total effects set serum perawatan kulit normal - krim pelembab serum wajah sabun muka,Olay,11487927,KOTA SEMARANG,True,False,294200,4801,4.89,10228,1731,Facial Wash
ertos flek bintik hitam dan kusam 4 in 1 original facial wash astaxanthine dermo night darkspot,Erto's,159362919,KOTA TANGERANG SELATAN,False,True,290000,349,4.87,4793,493,Facial Wash
paket ertos flek hitam & wajah kusamfacial washdermo night creamastaxanthine drak spot,Ertos,219188044,KAB. TANGERANG,False,True,289000,212,4.86,327,182,Facial Wash
ertos paket whitening flek dan anti aging original facial wash serum kinclong astaxanthinedermo,Erto's,159362919,KOTA TANGERANG SELATAN,False,True,285000,18,5.0,1069,28,Facial Wash
ertos paket whitening pemutih wajah 4in1 facial wash toner astaxanthine night cream,Erto's,184979646,KAB. TANGERANG,False,True,285000,69,4.84,934,46,Facial Wash
paket ms glow for men original dan lengkap 4 in 1 / facial wash / cream / serum / sunscreen,MS Glow Men,230623707,KAB. PASURUAN,False,False,285000,212,5.0,163,5,Facial Wash
ertos paket flek & bintik hitam dark spot facial wash astaxanthine dermo night,Others,279492286,KOTA TANGERANG SELATAN,False,True,283000,137,4.89,1430,101,Facial Wash
ertos original paket glowing series 4 in 1 facial wash toner day cream night cream,Others,64659037,KOTA TANGERANG SELATAN,False,True,280000,782,4.87,2365,629,Facial Wash
diamond glow by bogota cream malam suncreen & facial wash,Others,2717769,KOTA MEDAN,False,True,280000,165,5.0,123,9,Facial Wash
evershine paket infus wajah pemutih muka penyegar kulit treatmen facial wash toner moringa bpoom,Paket,253471974,KOTA TANGERANG,False,False,278001,134,5.0,7,0,Facial Wash
vavl beaute bye acne package bundling facial wash blemish serum beauty water ori vivalentine,Viva,367692741,KOTA JAKARTA BARAT,False,True,275000,65,4.94,190,42,Facial Wash
paket whitening suncare white prima spf 30  10g daily night hm 10g facial wash brightening 100ml,Others,18193329,KOTA BEKASI,False,False,275000,16,5.0,5,0,Facial Wash
paket whitelab brightening face serum toner day night cream facial wash,Whitelab,58042531,KOTA JAKARTA UTARA,False,False,274000,54,5.0,169,25,Facial Wash
paket lengkap facial wash + toner + niacinamide serum,Others,184941793,KOTA JAKARTA BARAT,False,True,269000,163,4.82,1008,170,Facial Wash
you the radiance white series paket day cream/active night gel/nourishing+serum/facial foam,Others,240865900,KAB. PAMEKASAN,False,True,265980,30,4.89,620,18,Facial Wash
yass brightening+toner bright facial wash/toner acne,Yass,132898967,KOTA SAMARINDA,False,True,265000,246,4.81,415,108,Facial Wash
rich glow secret - facial foam,Rich,299826989,KOTA SERANG,False,True,259000,17,5.0,214,4,Facial Wash
justmine beauty skincare glowing jerawat acne flek facialwash toner serum daycream creamnight cantik,Others,321521471,KOTA BOGOR,False,True,255000,2102,4.87,15249,1655,Facial Wash
moreskin glass skin series facial foam face mist day cream & night cream,Others,448800252,KOTA JAKARTA TIMUR,False,False,250000,1250,0.0,3,0,Facial Wash
1 masker matcha + 1 masker charcoal + 1 facial wash + 1 headband kdrama,Others,211430437,KOTA BOGOR,False,True,250000,1072,4.92,1978,763,Facial Wash
paket hemat wajah drwskincare 100% ori toner 60ml facial wash 60ml day & night cream,DRWSkincare,242070985,KAB. SITUBONDO,False,True,250000,90,4.93,199,26,Facial Wash
alpha rules twinpack face up & razer off facial wash & shaving cream alpharules original,Others,450310246,KAB. BANYUMAS,False,False,250000,1302,5.0,53,2,Facial Wash
scarlett whitening cream day & night serum facial wash  scarlett paket wajah 4 pcs ,Scarlett,27849411,KAB. BEKASI,False,True,249200,226,4.93,321,125,Facial Wash
precious skin alpha arbutin 3+++ whitening show set / facial wash / soap / scrub / salt scrub set,Precious Skin Thailand,156582062,KOTA JAKARTA UTARA,True,False,244000,77,4.8,3981,292,Facial Wash
facial wash & toner essence moringa evershine,Others,51664055,KOTA SURABAYA,False,True,240000,69,4.96,82,20,Facial Wash
skinda lab facial foam clarifying/acne series ,Skinda Lab,239380337,KOTA SURABAYA,False,False,240000,53,4.96,80,7,Facial Wash
paket whitening booster facial wash mangosten 100ml,Others,95797172,KAB. SIDOARJO,False,True,240000,206,4.92,86,15,Facial Wash
paket booster dengan facial wash mangosten,Dr. Qky,22715630,KAB. BEKASI,False,False,240000,13,5.0,15,0,Facial Wash
glowmy facial wash+serum,Others,324394758,KOTA JAKARTA BARAT,True,False,238000,72,4.97,167,5,Facial Wash
lebih hemat olay regenerist set ritual krim pelembab malam & sabun muka anti aging skincare,Olay,11487927,KOTA SURABAYA,True,False,237900,1271,4.91,2592,282,Facial Wash
"lebih hemat olay regenerist set ritual krim pelembab pagi & sabun muka anti aging skincare
",Olay,11487927,KOTA BEKASI,True,False,237900,308,4.91,1514,146,Facial Wash
olay set perawatan anti aging krim pagi 50gr + krim malam 50gr + sabun muka 100gr - krim pelembab,Olay,11487927,KOTA SURABAYA,True,False,236200,1505,4.87,2490,603,Facial Wash
whitelab paket wajah lengkap tanpa facial wash,Others,332303672,KOTA PALEMBANG,False,True,235000,106,4.91,2436,54,Facial Wash
paket pemula osd day cream night cream facial wash,Others,144424632,KOTA DEPOK,False,False,230000,158,4.9,931,86,Facial Wash
