nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
hada labo gokujyun ultimate moisturizer  gokujyun  alpha,Hada Labo,744873,KOTA JAKARTA SELATAN,False,True,19900,96040,4.92,267520,32987,Moisturizer
the aesthetics skin x dion mulya moist in jar daily soothing moisturizer,Others,211430437,KOTA BOGOR,False,True,95000,72151,4.94,101298,14452,Moisturizer
aquadi anti bacterial hand sanitizer and moisturizer 50 ml,Aquadi,65323877,KOTA BEKASI,True,False,37400,68588,4.9,44016,6160,Moisturizer
ponds age miracle retinol day cream youthful glow 50 g - moisturizer anti aging krim anti aging,Pond's,14318452,KOTA BEKASI,True,False,112000,57353,4.94,28969,8241,Moisturizer
"ponds age miracle youthful glow retinol night cream moisturizer 10 g
",Pond's,14318452,KOTA BEKASI,True,False,32000,45315,4.92,49847,8226,Moisturizer
ponds juice collection moisturizer watermelon extract  + vit e 20 gr,Others,14318452,KOTA BALIKPAPAN,True,False,22200,44807,4.93,80710,17684,Moisturizer
hada labo gokujyun ultimate moisturizer moisturizing lotion light milk cleansing oil premium starter,Others,8284322,KAB. TANGERANG,False,True,14700,41169,4.92,46862,17450,Moisturizer
fair & lovely cream wajah multivitamin 50 g - brightening cream cream moisturizer,Fair & Lovely,14318452,KOTA BEKASI,True,False,30000,35712,4.92,19961,5944,Moisturizer
garnier sakura white serum night cream moisturizer skin care - 50 ml untuk wajah cerah & merona,Garnier,62583853,KOTA JAKARTA UTARA,True,False,73500,35512,4.91,24077,14141,Moisturizer
wardah perfect bright moisturizer spf 28 20 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,26500,31789,4.9,41840,16770,Moisturizer
wardah perfect bright moisturizer spf 28 20 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,26500,31789,4.9,41840,16770,Moisturizer
ponds age miracle youthful glow retinol day cream 20 g - moisturizer anti aging,Pond's,14318452,KOTA BEKASI,True,False,40400,31611,4.92,20073,4329,Moisturizer
ponds age miracle youthful glow retinol day cream moisturizer 10 g,Pond's,14318452,KOTA BEKASI,True,False,25100,30937,4.9,19341,5666,Moisturizer
ponds age miracle youthful glow retinol day cream moisturizer 10 g,Pond's,14318452,KOTA BEKASI,True,False,25100,30937,4.9,19341,5666,Moisturizer
ponds age miracle retinol night cream youthful glow 50 g - moisturizer anti aging anti aging cream,Pond's,14318452,KOTA BEKASI,True,False,119500,30860,4.94,13981,5677,Moisturizer
somethinc ceramic skin saviour moisturizer gel,Somethinc,195455930,KOTA JAKARTA BARAT,True,False,169000,30043,4.93,256113,21744,Moisturizer
wardah perfect bright moisturizer spf 28 uva/uvb filter 20ml,Wardah,9177521,KAB. BEKASI,False,True,19500,28886,4.9,5221,4789,Moisturizer
wardah perfect bright moisturizer spf28 20ml,Wardah,39943822,KAB. BOGOR,False,True,20000,27293,4.93,18223,6050,Moisturizer
avoskin perfect hydrating treatment essence 30ml - travel size,Avoskin,154494405,KAB. SLEMAN,True,False,139000,25747,4.9,97822,16233,Moisturizer
wardah acnederm night treatment moisturizer 40 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,28475,25721,4.89,19757,10799,Moisturizer
wardah acnederm day moisturizer 40 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,28475,24669,4.88,20534,10201,Moisturizer
pond’s glow up instabright illuminating moisturizer cream pearly aura 20 gr,Pond's,14318452,KOTA BEKASI,True,False,23000,23854,4.9,7774,10359,Moisturizer
citra cream wajah green tea 40 g - moisturizer kulit berminyak anti acne perawatan jerawat,Citra,14318452,KOTA BEKASI,True,False,31500,23275,4.9,18127,10398,Moisturizer
marcks moisturizer 30gr,Marcks,102291996,KOTA JAKARTA SELATAN,True,False,20944,22651,4.89,17389,7047,Moisturizer
acnes perawatan skincare  uv tint sunscreen toner creamy face wash & facial wash moisturizer cream,Acnes,168368083,KOTA BEKASI,False,True,15980,22587,4.88,42147,5391,Moisturizer
wardah lightening night cream advanced niacinamide 20 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,23200,22329,4.9,69269,5759,Moisturizer
ponds juice collection moisturizer orange nectar + vit c 20 gr,Pond's,14318452,KOTA BEKASI,True,False,17300,20114,4.92,23503,7340,Moisturizer
wardah nature daily aloe hydramild moisturizer cream 40 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,17850,19572,4.89,35261,10086,Moisturizer
wardah nature daily aloe hydramild moisturizer cream 40 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,17850,19572,4.89,35261,10086,Moisturizer
terlaris hydrating juice ms glow moisturizer pelembab kulit mengurangi iritasi kulit – isi 30 gram,Ms Glow,65240549,KOTA SURABAYA,False,False,94000,17757,4.83,16377,1033,Moisturizer
citra sakura glow uv facial moisturizer 40 g,Citra,14318452,KOTA BEKASI,True,False,29500,17216,4.9,16562,4403,Moisturizer
❤ belia ❤ azarine easy white series with japanese sakura  herbal moisturizer serum day night cream,Azarine,48382819,KOTA SURABAYA,False,True,21300,16340,4.92,47078,3183,Moisturizer
nivea men personal care men creme moisturizer - 75 ml,Nivea,39283823,KOTA SEMARANG,True,False,34000,15921,4.88,10515,5121,Moisturizer
elsheskin moisturizer for acne skin,ElsheSkin,9035345,KOTA TANGERANG SELATAN,True,False,78300,15511,4.91,18372,5389,Moisturizer
elsheskin moisturizer for acne skin,ElsheSkin,9035345,KOTA TANGERANG SELATAN,True,False,78300,15511,4.91,18372,5389,Moisturizer
clean & clear essentials moisturizer perawatan pelembab wajah 50ml,Clean&Clear,50708029,KOTA BEKASI,True,False,16200,15255,4.91,38515,9425,Moisturizer
【bpom】breylee krim penghilang jerawat / komedo / pengecil pori-pori 20g,Breylee,165025928,Luar Negeri,False,True,58001,15029,4.8,10739,8633,Moisturizer
❤ belia ❤ wardah perfect bright series  creamy foam moisturizer tone up peel off powder micellar bb,Wardah,48382819,KOTA SURABAYA,False,True,14900,14639,4.92,25110,1277,Moisturizer
wardah aloe hydramild moisturizer cream 40ml,Wardah,39943822,KAB. BOGOR,False,True,16000,14392,4.93,9080,4249,Moisturizer
❤ belia ❤ wardah nature daily aloe hydramild  multi gel face wash moisturizer cream serum hand,Wardah,48382819,KOTA SURABAYA,False,True,9250,14074,4.91,27131,3176,Moisturizer
original pelembab wardah perfect bright moisturizer spf 28,Wardah,8175160,KOTA JAKARTA TIMUR,False,False,21120,13965,4.84,4493,3951,Moisturizer
wardah nature daily witch hazel purifying moisturizer gel 40 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,17850,13534,4.89,18756,6812,Moisturizer
ponds juice collection moisturizer aloe vera extract + vit b3 20 gr,Others,14318452,KOTA BEKASI,True,False,17300,12920,4.92,24526,5084,Moisturizer
syb asli shooting and moisturizer gel aloe vera 92% shooting gel,SYB,8314620,KOTA SURABAYA,False,True,19000,12650,4.75,1731,2361,Moisturizer
