nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
scarlett whitening / scarlet original scrub lotion shower facial wash serum cream day night bright,Scarlett,6080165,KOTA JAKARTA PUSAT,False,True,52000,632553,4.87,96291,72905,Serum
scarlett whitening acne serum,Scarlett,255365082,KOTA JAKARTA BARAT,True,False,75000,395707,4.92,294004,79047,Serum
scarlett whitening serum brightly ever after / serum acne scarlett serum scarlett by felicia scarlet,Scarlett,6080165,KOTA JAKARTA PUSAT,False,True,52000,350482,4.87,120309,54201,Serum
codscarlett whitening / scarlet whitening serum original bpom lulur romansa pome charming freshy,Scarlett,186866,KOTA JAKARTA UTARA,False,True,55000,329699,4.86,417007,39526,Serum
scarlett whitening brightly ever after serum,Scarlett,255365082,KOTA JAKARTA BARAT,True,False,75000,315896,4.92,304656,71836,Serum
❤ belia ❤ hanasui ✔️bpom serum  whitening gold vit c collagen anti acne propolis men bright active,Hanasui,48382819,KOTA SURABAYA,False,True,11600,199380,4.9,74730,15229,Serum
【bpom】breylee varian step 1 blackhead & step 2 pore serum,Breylee,165025928,Luar Negeri,False,True,45001,189051,4.84,62734,91048,Serum
loreal paris uv defender serum protector sunscreen bright&clear 50mlspf50+/pa++++mencerahkankulit,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,125200,172241,4.92,186176,84072,Serum
vaseline hand body lotion soft glow 180 ml - serum kulit serum badan serum glow,Others,14318452,KOTA BEKASI,True,False,24500,169755,4.93,316013,46416,Serum
scarlett whitening acne serum,Scarlett,39479320,KOTA JAKARTA BARAT,False,True,75000,156723,4.9,91244,24591,Serum
whitelab brightening face serum,Whitelab,201071840,KOTA JAKARTA UTARA,True,False,78750,144254,4.9,237302,71169,Serum
serum gold hanasui bpom na / serum jaya mandiri,Hanasui,3948077,KOTA MEDAN,False,False,12800,143188,4.87,9336,2624,Serum
scarlett whitening acne serum cream scarlet whitening brightly ever after serum krem wajah,Scarlett,744873,KOTA JAKARTA SELATAN,False,True,55000,140709,4.9,91032,27783,Serum
ready scarlett whitening serum & cream - scarlett cream acne - serum brightly ever after day night,Scarlett,29785647,KOTA JAKARTA BARAT,False,True,55000,134720,4.85,40686,23262,Serum
ready scarlett whitening serum & cream - scarlett cream acne - serum brightly ever after day night,Scarlett,29785647,KOTA JAKARTA BARAT,False,True,55000,134720,4.85,40686,23262,Serum
scarlett whitening brightly ever after serum,Scarlett,39479320,KOTA JAKARTA BARAT,False,True,75000,132677,4.91,80965,23310,Serum
oil-eyelash lash & brow serum bulu mata oilash and brow,Others,64600168,KOTA KEDIRI,False,False,6528,125063,4.78,19973,10251,Serum
scarlett whitening body lotion / scarlet freshy charming serum pomegrante romansa cream facial shamp,Scarlett,6913348,KOTA JAKARTA UTARA,False,True,52000,112759,4.87,61851,13843,Serum
scarlett whitening body lotion / scarlet freshy charming serum pomegrante romansa cream facial shamp,Scarlett,6913348,KOTA JAKARTA UTARA,False,True,52000,112759,4.87,61851,13843,Serum
scarlett whitening cod lgsg kirim paket lengkap scarlet original serum cream body lotion scrub,Scarlett,119151212,KAB. KEDIRI,False,True,55000,112177,4.87,51734,20387,Serum
miniso masker wajah serum sheet mask peel off nature hydrate face mask organik wanita,Miniso,40847197,KOTA JAKARTA UTARA,True,False,6900,111424,4.9,42559,27568,Serum
miniso masker wajah serum sheet mask peel off nature hydrate face mask organik wanita,Miniso,40847197,KOTA JAKARTA UTARA,True,False,6900,111424,4.9,42559,27568,Serum
❤ belia ❤ scarlett whitening body lotion shower scrub body scrub serum facial wash scarlet bpom,Scarlett,48382819,KOTA SURABAYA,False,True,55000,108194,4.92,324158,19552,Serum
bpom serum whitening gold jaya mandiri by hanasui,Hanasui,5139506,KOTA MEDAN,False,False,12800,102032,4.86,3227,2005,Serum
gold serum whitening gold hanasui bpom  serum gold jaya mandiri ,Hanasui,19847215,KOTA JAKARTA UTARA,False,False,14000,96230,4.8,1801,4092,Serum
scarlett whitening serum & cream ready official paket scarlet hand body lotion scrub lulur felicya,Scarlett,138914885,KOTA JAKARTA BARAT,False,True,55000,91799,4.88,115808,14272,Serum
ponds bright beauty serum facial wash 100 g - sabun muka facial foam sabun cuci muka,Pond's,14318452,KOTA SEMARANG,True,False,25800,91024,4.93,61316,11610,Serum
breylee blackhead remove nose mask serum blackhead mask + 100 pcs paper serum mask yaziyan id,Others,252633829,Luar Negeri,False,False,39411,90848,4.85,442,23486,Serum
garnier light complete vitamin c 30x booster serum skin care  cepat cerahkan noda hitam ,Garnier,62583853,KOTA JAKARTA UTARA,True,False,71300,86455,4.86,256035,46841,Serum
