nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
theraskin toner oily,Theraskin,29636199,KOTA TANGERANG,False,True,19299,1435,4.83,195,186,Toner
emina ms pimple acne solution face toner 50 ml,Emina,63983008,KOTA JAKARTA SELATAN,True,False,20400,36066,4.88,34042,18536,Toner
safi white expert oil control and acne cleanser & toner 150ml,Safi,63823668,KOTA JAKARTA UTARA,True,False,32800,36139,4.88,24210,13444,Toner
pixy aqua beauty protecting mist 60 ml,Pixy,186214521,KOTA JAKARTA UTARA,True,False,33900,239,4.88,639,593,Toner
make over toner 100 ml,Make Over,63984475,KOTA JAKARTA SELATAN,True,False,49500,2635,4.89,3367,3733,Toner
safi white expert cleanser 2in1 cleanser & toner 150 ml,Safi,186214521,KOTA JAKARTA UTARA,True,False,53000,340,4.88,1027,334,Toner
safi white expert oil control and acne cleanser & toner + expert oil control & anti acne cream ,Safi,63823668,KOTA JAKARTA UTARA,True,False,69900,2369,4.89,9224,1082,Toner
evian facial spray 50ml ed 01/22,Others,17904095,KOTA JAKARTA BARAT,True,False,80500,643,4.91,3201,1371,Toner
 bioessence bio-water energizing water 100ml,Others,63822287,KOTA JAKARTA UTARA,True,False,109500,455,4.92,900,438,Toner
loreal paris aura perfect brightening & moisturizing toner skin care - 200 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,112700,11425,4.92,10491,4662,Toner
bpom benton aloe bha skin toner 200ml,Benton,4853527,KOTA JAKARTA PUSAT,False,True,117550,2562,4.91,686,2626,Toner
loreal paris revitalift aqua milky toner anti-wrinkle + firmness skin care - 200 ml,L'Oreal Paris,62579622,KOTA SURABAYA,True,False,131200,3230,4.92,5538,1808,Toner
erha vp erha 1 facial wash & erha 3 balancing toner - sabun & toner wajah kulit normal & kering,Erha,129153987,KOTA JAKARTA UTARA,True,False,153600,2182,4.91,3106,1271,Toner
somebymi ahabhapha 30days miracle toner 150ml,Some By Mi,184014805,Korea Selatan,False,True,154103,1059,4.95,518,659,Toner
toner temulawak holo emas besar botol kuning original 100 ml,111skin,122831989,KOTA JAKARTA UTARA,False,True,8500,1006,4.62,958,21,Toner
 bpom  toner tm kecil   temulawak ,111skin,3948077,KOTA MEDAN,False,False,8500,321,5.0,114,5,Toner
hatomugi toner skin conditioner 500ml full size - pretty mart,111skin,107395930,KOTA JAKARTA BARAT,False,False,64999,2518,4.84,23385,2091,Toner
some by mi aha bha pha 30 days miracle toner / some by mi toner,111skin,101585010,KOTA JAKARTA BARAT,False,True,95400,1334,4.76,37271,753,Toner
some by mi aha bha pha 30 days miracle toner / some by mi toner,111skin,101585010,KOTA JAKARTA BARAT,False,True,95400,1334,4.76,37271,753,Toner
toner badan yoni,12 Plus,36154797,KAB. DELI SERDANG,False,False,21000,203,5.0,716,13,Toner
